"Name,Ticker/Code,발행사,자산,전략,세부전략,지역,추적배수,거래대금(백만),시가총액(백만)"
"KODEX 미국나스닥100레버리지(합성 H),409820,삼성자산운용,주식,시장대표,-,미국,2X 레버리지,1235.684871,233631"
"TIGER 코스피,277630,미래에셋자산운용,주식,시장대표,-,국내,일반,2614.753435,233180"
"TIGER 미국나스닥100채권혼합Fn,435420,미래에셋자산운용,혼합자산,자산배분,채권혼합,글로벌,일반,1841.021574,232425.5"
"SOL 26-12 회사채(AA-이상)액티브,488980,신한자산운용,채권,회사채,단기,국내,일반,34.53634,230527"
"ACE 엔비디아채권혼합블룸버그,448540,한국투자신탁운용,혼합자산,자산배분,채권혼합,글로벌,일반,2315.55893,230314.5"
"TIGER 코리아원자력,0091P0,미래에셋자산운용,주식,테마,원자력,국내,일반,25318.98927,223665"
"SOL 200TR,295040,신한자산운용,주식,시장대표,-,국내,일반,697.573895,222957"
"SOL 미국배당다우존스(H),452360,신한자산운용,주식,스타일,배당,미국,일반,1390.093691,220932"
"ACE KPOP포커스,475050,한국투자신탁운용,주식,테마,게임&엔터&스포츠,국내,일반,9611.44698,219708"
"KODEX 은선물(H),144600,삼성자산운용,원자재,금속,은,글로벌,일반,17049.21648,219645"
"SOL 미국테크TOP10,481190,신한자산운용,주식,테마,빅테크,미국,일반,6672.441506,219537.25"
"KODEX K방산TOP10,0080G0,삼성자산운용,주식,테마,방산,국내,일반,15797.21691,219030"
"KIWOOM 인도Nifty50(합성),200250,키움투자자산운용,주식,시장대표,-,인도,일반,1251.17462,219015"
"KODEX 차이나휴머노이드로봇,0048K0,삼성자산운용,주식,테마,로보틱스 & AI,중국,일반,33700.37874,218340"
"TIGER 헬스케어,143860,미래에셋자산운용,주식,섹터,헬스케어,국내,일반,4297.648759,217508.2"
"KODEX 미국AI테크TOP10,485540,삼성자산운용,주식,테마,로보틱스 & AI,미국,일반,4973.241102,214132.5"
"TIGER TDF2045,0025N0,미래에셋자산운용,혼합자산,자산배분,TDF,글로벌,일반,4085.309671,212975.5"
"SOL 미국AI전력인프라,486450,신한자산운용,주식,테마,전력인프라,미국,일반,2664.296044,209770"
"TIMEFOLIO 글로벌우주테크&방산액티브,478150,타임폴리오자산운용,주식,테마,방산,글로벌,일반,4133.474305,208184"
"RISE 단기국공채액티브,272560,케이비자산운용,채권,국공채,단기,국내,일반,371.81258,207466.045"
"TIGER 차이나과창판STAR50(합성),414780,미래에셋자산운용,주식,시장대표,-,중국,일반,21186.81621,206142"
"TIGER 미국채10년선물,305080,미래에셋자산운용,채권,국공채,장기,미국,일반,1040.507561,205838.5"
"SOL 미국양자컴퓨팅TOP10,0023A0,신한자산운용,주식,테마,양자컴퓨팅,미국,일반,19769.86766,204467.5"
"KODEX 금융고배당TOP10,0089D0,삼성자산운용,주식,스타일,배당,국내,일반,1300.220062,203346"
"TIGER 차이나CSI300,192090,미래에셋자산운용,주식,시장대표,-,중국,일반,1972.776277,202520"
"TIGER 바이오TOP10,364970,미래에셋자산운용,주식,섹터,헬스케어,국내,일반,9835.246673,202272"
"TIGER 미국AI빅테크10타겟데일리커버드콜,493810,미래에셋자산운용,주식,주식파생,커버드콜,미국,일반,2947.728768,201809.25"
"TIGER 26-04 회사채(A+이상)액티브,0001S0,미래에셋자산운용,채권,회사채,단기,국내,일반,555.40555,201571"
"TIGER 지주회사,307520,미래에셋자산운용,주식,스타일,그룹주,국내,일반,4736.880037,198904.25"
"KODEX 차이나항셍테크,372330,삼성자산운용,주식,테마,빅테크,중국,일반,3740.031154,198502.5"
"KODEX 로봇액티브,445290,삼성자산운용,주식,테마,로보틱스 & AI,국내,일반,7665.540062,197142"
"TIGER 미국나스닥100레버리지(합성),418660,미래에셋자산운용,주식,시장대표,-,미국,2X 레버리지,2150.247637,195750"
